Company=GREAT BEAR PETROLEUM
Well=GB_ALCOR_#1
Field=WILDCAT
County=NORTH SLOPE
State=ALASKA
Country=NORTH SLOPE
Dip Summary From 4550.80 to 4575.80 Metres
Dip Confidence :
   E=Excellent(dip quality=1), G=Good(dip quality=2)
F=Fair(dip quality=3), P=Poor(dip quality=4 or 5)
Depth,Class,True Mag,True Azi,Quality,Caliper,Conf,DipType,Gamma Ray,Devi,Hazi
4500.1582,BED,    3.46,   23.00,1,8.78,E,Bed Boundary,72.50,0.48,107.65
4500.6138,BED,    2.32,   26.60,1,8.70,E,Bed Boundary,68.72,0.48,107.46
4500.8311,BED,    1.21,   10.40,1,8.72,E,Bed Boundary,67.94,0.48,107.58
4502.0347,BED,    2.30,    6.80,1,8.83,E,Bed Boundary,68.81,0.48,108.60
4506.3535,BED,    2.77,   41.00,3,8.84,F,Bed Boundary,74.92,0.47,111.36
4506.5293,BED,    3.50,   50.00,3,8.85,F,Bed Boundary,74.16,0.47,111.31
4506.6724,BED,    3.45,   44.60,3,8.85,F,Bed Boundary,72.58,0.47,111.27
4509.0630,BED,    2.31,   33.80,1,8.76,E,Bed Boundary,61.76,0.48,111.71
4509.9092,BED,    2.36,   33.80,1,8.77,E,Bed Boundary,71.94,0.48,112.26
4510.9004,BED,    2.35,   33.80,1,8.83,E,Bed Boundary,73.44,0.47,112.73
4511.4600,BED,    2.30,   35.60,1,8.82,E,Bed Boundary,62.91,0.47,113.09
4511.9629,BED,    1.15,   30.20,1,8.89,E,Bed Boundary,52.03,0.47,113.14
4512.3208,BED,    2.27,   26.60,1,8.98,E,Bed Boundary,46.78,0.47,113.29
4515.2710,BED,   11.47,   75.20,1,8.82,E,Compaction Bedding,57.89,0.47,114.39
4516.1499,BED,   19.04,  257.00,1,8.80,E,Compaction Bedding,53.61,0.47,114.53
4517.6050,BED,    2.09,  228.20,2,8.81,G,Bed Boundary,56.40,0.48,115.26
4517.7354,BED,    2.77,  235.40,2,8.83,G,Bed Boundary,57.39,0.48,115.28
4520.4839,BED,    1.13,   12.20,1,9.01,E,Bed Boundary,55.88,0.48,115.84
4520.6250,BED,    2.32,   10.40,1,9.01,E,Bed Boundary,54.29,0.48,115.93
4520.8311,BED,    1.18,   10.40,1,9.05,E,Bed Boundary,51.24,0.48,115.92
4521.0044,BED,    2.26,  356.00,1,9.09,E,Bed Boundary,48.68,0.48,115.89
4526.0371,BED,    2.31,  210.20,1,8.77,E,Soft Sediment Deformation,57.19,0.49,117.12
4526.2539,BED,    2.31,  201.20,1,8.76,E,Soft Sediment Deformation,51.77,0.49,117.16
4526.6011,BED,    2.36,   19.40,1,8.82,E,Soft Sediment Deformation,42.64,0.49,117.13
4527.0781,BED,    2.26,  210.20,1,9.06,E,Soft Sediment Deformation,46.26,0.49,117.25
4527.4033,BED,    3.37,  341.60,1,9.13,E,Soft Sediment Deformation,53.77,0.49,117.38
4527.7939,BED,    1.14,    1.40,1,8.92,E,Bed Boundary,62.09,0.50,117.26
4528.0542,BED,    1.15,  359.60,1,8.84,E,Bed Boundary,65.44,0.50,117.27
4528.4990,BED,    1.15,    6.80,1,8.80,E,Bed Boundary,68.71,0.50,117.39
4529.4966,BED,   15.93,  212.00,1,8.77,E,Compaction Bedding,68.21,0.50,117.14
4531.8003,BED,   38.60,   48.20,1,8.71,E,Compaction Bedding,74.81,0.51,116.25
4532.7637,FRAC,   44.38,  239.00,1,8.77,E,Natural Fracture,78.86,0.52,116.32
4535.0283,BED,    3.50,   44.60,1,8.85,E,Bed Boundary,73.54,0.52,116.42
4535.4351,BED,    6.95,   42.80,2,8.89,G,Soft Sediment Deformation,62.18,0.52,116.49
