Table - P-wave Time and Velocity Computation

------------------------------------------------------------------------------------------
Company:                                                            Great Bear Petroleum .
Well:                                                                             Alcor #1

Seismic reference datum:                                                   350.00 ft (MSL)
Source elevation:                                                          178.00 ft (MSL)
Source offset from wellhead:                                               315.00 ft      
Source azimuth:                                                            187.00 deg     
Well reference elevation (KB):                                             199.00 ft (MSL)
Correction velocity:                                                      10000.0 ft/s    
Method of calculation:                                                          Curved ray
Nomenclature
MD:       Measured depth of receiver below well reference
TVD:      True vertical depth of receiver below well reference
TVDSD:    True vertical depth of receiver below seismic datum
Offset:   Horizontal distance between source and receiver
Tt:       Time from source to receiver
Tv:       Vertical time from source to receiver
Ts:       Static time correction from source to seismic datum
Tc:       Corrected vertical time from seismic datum to receiver
TWT:      Two-way vertical time below seismic datum
Vave:     Average velocity
DZ:       Vertical depth interval
DT:       Vertical time interval
Vint:     Interval velocity
Vrms:     RMS velocity
------------------------------------------------------------------------------------------

    MD      TVD    TVDSD  Offset     Tt      Tv      Ts      Tc      TWT    Vave     DZ      DT     Vint    Vrms
   (ft)     (ft)    (ft)    (ft)    (ms)    (ms)    (ms)    (ms)    (ms)  (ft/s)    (ft)    (ms)  (ft/s)  (ft/s)
                     0.0                                     0.0     0.0                                        
   400.0   400.0   551.0   315.3    78.8    60.6    17.2    77.8   155.6  7081.1   551.0    77.8  7081.1  7081.1
   900.0   900.0  1051.0   315.3   121.8   114.8    17.2   132.0   263.9  7963.7   500.0    54.2  9231.9  8033.6
  1400.0  1400.0  1551.0   315.3   173.1   168.8    17.2   186.0   372.0  8339.0   500.0    54.0  9255.9  8407.0
  1900.0  1900.0  2051.0   315.3   227.6   224.5    17.2   241.7   483.4  8486.4   500.0    55.7  8978.7  8542.1
  2400.0  2400.0  2551.0   315.3   290.3   287.8    17.2   305.0   609.9  8364.7   500.0    63.3  7899.7  8412.8
  2900.0  2900.0  3051.0   315.3   354.5   352.4    17.2   369.6   739.3  8254.0   500.0    64.7  7731.8  8297.7
  3400.0  3400.0  3551.0   315.3   421.2   419.4    17.2   436.6   873.2  8133.5   500.0    66.9  7468.7  8176.1
  3900.0  3900.0  4051.0   315.3   482.0   480.4    17.2   497.6   995.3  8140.4   500.0    61.1  8189.5  8177.7
  4400.0  4400.0  4551.0   315.3   540.1   538.7    17.2   555.9  1111.9  8186.1   500.0    58.3  8575.7  8220.4
  4850.0  4850.0  5001.0   315.3   589.6   588.3    17.2   605.5  1211.1  8258.8   450.0    49.6  9074.8  8293.6



    MD      TVD    TVDSD  Offset     Tt      Tv      Ts      Tc      TWT    Vave     DZ      DT     Vint    Vrms
   (ft)     (ft)    (ft)    (ft)    (ms)    (ms)    (ms)    (ms)    (ms)  (ft/s)    (ft)    (ms)  (ft/s)  (ft/s)

  4900.0  4900.0  5051.0   315.3   594.7   593.5    17.2   610.7  1221.4  8271.1    50.0     5.1  9716.6  8306.7
  4950.0  4950.0  5101.0   315.3   599.8   598.6    17.2   615.8  1231.6  8283.2    50.0     5.1  9717.0  8319.4
  5000.0  5000.0  5151.0   315.3   604.7   603.5    17.2   620.7  1241.4  8298.4    50.0     4.9 10206.9  8336.0
  5050.0  5050.0  5201.0   315.3   609.7   608.5    17.2   625.7  1251.5  8311.7    50.0     5.0  9957.2  8350.3
  5100.0  5100.0  5251.0   315.3   614.6   613.4    17.2   630.6  1261.3  8326.4    50.0     4.9 10208.1  8366.3
  5150.0  5150.0  5301.0   315.3   619.6   618.5    17.2   635.7  1271.3  8339.3    50.0     5.0  9958.2  8380.0
  5200.0  5200.0  5351.0   315.3   624.6   623.4    17.2   640.6  1281.2  8352.8    50.0     5.0 10082.8  8394.5
  5250.0  5250.0  5401.0   315.3   629.5   628.4    17.2   645.6  1291.2  8366.1    50.0     5.0 10083.1  8408.8
  5300.0  5300.0  5451.0   315.3   634.5   633.4    17.2   650.6  1301.2  8378.4    50.0     5.0  9960.1  8421.9
  5350.0  5350.0  5501.0   315.3   639.3   638.2    17.2   655.4  1310.9  8392.9    50.0     4.8 10341.9  8437.6
  5400.0  5400.0  5551.0   315.3   644.2   643.1    17.2   660.3  1320.7  8406.4    50.0     4.9 10212.0  8452.2
  5450.0  5450.0  5601.0   315.3   649.0   648.0    17.2   665.2  1330.3  8420.5    50.0     4.8 10343.0  8467.4
  5500.0  5500.0  5651.0   315.3   653.6   652.6    17.2   669.8  1339.5  8437.4    50.0     4.6 10899.7  8486.5
  5550.0  5550.0  5701.0   315.3   658.3   657.3    17.2   674.5  1348.9  8452.6    50.0     4.7 10614.7  8503.2
  5600.0  5600.0  5751.0   315.3   663.1   662.0    17.2   679.2  1358.5  8466.8    50.0     4.8 10464.2  8518.5
  5650.0  5650.0  5801.0   315.3   667.7   666.6    17.2   683.8  1367.7  8483.1    50.0     4.6 10889.3  8536.7
  5700.0  5700.0  5851.0   315.3   672.3   671.3    17.2   688.5  1377.0  8498.1    50.0     4.7 10696.2  8553.2
  5750.0  5750.0  5901.0   315.3   676.8   675.8    17.2   693.0  1386.0  8514.9    50.0     4.5 11091.2  8572.1
  5800.0  5800.0  5951.0   315.3   681.3   680.3    17.2   697.5  1395.0  8531.6    50.0     4.5 11091.9  8590.8
  5850.0  5850.0  6001.0   315.3   685.8   684.8    17.2   702.0  1404.1  8548.0    50.0     4.5 11092.4  8609.1
  5900.0  5900.0  6051.0   315.3   690.3   689.3    17.2   706.5  1413.0  8564.6    50.0     4.5 11166.2  8627.7
  5950.0  5950.0  6101.0   315.3   694.8   693.9    17.2   711.1  1422.2  8579.9    50.0     4.6 10931.1  8644.5
  6000.0  6000.0  6151.0   315.3   699.6   698.6    17.2   715.8  1431.6  8593.2    50.0     4.7 10596.4  8658.8
  6050.0  6050.0  6201.0   315.3   704.1   703.2    17.2   720.4  1440.8  8607.8    50.0     4.6 10893.6  8674.9
  6100.0  6100.0  6251.0   315.3   708.7   707.8    17.2   725.0  1449.9  8622.6    50.0     4.6 10960.9  8691.1
  6150.0  6150.0  6301.0   315.3   713.2   712.3    17.2   729.5  1459.0  8637.6    50.0     4.5 11027.2  8707.6
  6200.0  6200.0  6351.0   315.3   717.8   716.9    17.2   734.1  1468.1  8651.8    50.0     4.6 10926.8  8723.2
  6250.0  6250.0  6401.0   315.3   722.4   721.5    17.2   738.7  1477.3  8665.6    50.0     4.6 10864.0  8738.1
  6300.0  6300.0  6451.0   315.3   726.9   726.0    17.2   743.2  1486.3  8680.4    50.0     4.5 11096.9  8754.4
  6350.0  6350.0  6501.0   315.3   731.4   730.5    17.2   747.7  1495.3  8695.0    50.0     4.5 11118.5  8770.5
  6400.0  6400.0  6551.0   315.3   735.9   735.0    17.2   752.2  1504.5  8708.6    50.0     4.6 10935.5  8785.3
  6450.0  6450.0  6601.0   315.3   740.5   739.6    17.2   756.8  1513.6  8722.1    50.0     4.6 10935.3  8799.8
  6500.0  6500.0  6651.0   315.3   745.1   744.2    17.2   761.4  1522.9  8734.7    50.0     4.6 10802.1  8813.4
