"API #","CoName","Well_Nm","Wh_TR","Well_Type","Wl_Status","Dt_Status","Field","Next_IMIT","Elev_Gr","Elev_DF","FullLocation","Elev_KB","DTD","PB_MD","DocLink",
"25083231310000","Continental Resources Inc","Collins  1-28H","23N-52E","Oil","Shut In","2/2/2024 12:00:00 AM","Elm Coulee","","2476","","23N - 52E - 28  NE NW   295 FNL, 1980 FWL","2501","13720","","/webapps/wellfiles/default.aspx?name=25083231310000",

"API #","Typ_Work","Dt_Effect","Cmmnt",
"25-083-23131-00-00","Horizontal Certification","11/13/2013 12:00:00 AM","",
"25-083-23131-00-00","Post-Frac Filing","11/8/2013 12:00:00 AM","On FracFocus",
"25-083-23131-00-00","FracFocus Filing","6/24/2013 12:00:00 AM","FFOC Filing",
"25-083-23131-00-00","Date Well Completed","5/15/2013 12:00:00 AM","",
"25-083-23131-00-00","Date Well Spudded","3/19/2013 12:00:00 AM","White Mountain 750; H&P 257 drilling remainder of well (spud 4-1-13)",
"25-083-23131-00-00","Pre-Frac Filing","3/12/2013 12:00:00 AM","with drilling permit",
"25-083-23131-00-00","Permit to Drill, Horizontal","3/12/2013 12:00:00 AM","",

"API #","Formation","Fmtn_Top","TVD","Cmmnt",
"25-083-23131-00-00","Greenhorn","4084","","",
"25-083-23131-00-00","Dakota","4746","","",
"25-083-23131-00-00","Rierdon","5916","","",
"25-083-23131-00-00","Tyler","6730","","",
"25-083-23131-00-00","Charles","7276","","",
"25-083-23131-00-00","Mission Canyon","7978","","",
"25-083-23131-00-00","Lodgepole","8508","","",
"25-083-23131-00-00","Bakken","9206","","Upper Bakken",
"25-083-23131-00-00","Three Forks","9207","","",

"API #","RptDate","Formation","Lease_Unit","BBLS_OIL_COND","MCF_GAS","BBLS_WTR","DAYS_PROD",
"25-083-23131-00-00","10/31/2024 12:00:00 AM","Bakken","10393","0","0","0","0",
"25-083-23131-00-00","9/30/2024 12:00:00 AM","Bakken","10393","0","0","0","0",
"25-083-23131-00-00","8/31/2024 12:00:00 AM","Bakken","10393","0","0","0","0",
"25-083-23131-00-00","7/31/2024 12:00:00 AM","Bakken","10393","0","0","0","0",
"25-083-23131-00-00","6/30/2024 12:00:00 AM","Bakken","10393","0","0","0","0",
"25-083-23131-00-00","5/31/2024 12:00:00 AM","Bakken","10393","0","0","0","0",
"25-083-23131-00-00","4/30/2024 12:00:00 AM","Bakken","10393","0","0","0","0",
"25-083-23131-00-00","3/31/2024 12:00:00 AM","Bakken","10393","0","0","0","0",
"25-083-23131-00-00","2/29/2024 12:00:00 AM","Bakken","10393","0","0","0","0",
"25-083-23131-00-00","1/31/2024 12:00:00 AM","Bakken","10393","0","0","0","0",
"25-083-23131-00-00","12/31/2023 12:00:00 AM","Bakken","10393","0","0","0","0",
"25-083-23131-00-00","11/30/2023 12:00:00 AM","Bakken","10393","-1","0","4","1",
"25-083-23131-00-00","10/31/2023 12:00:00 AM","Bakken","10393","0","0","0","0",
"25-083-23131-00-00","9/30/2023 12:00:00 AM","Bakken","10393","0","0","0","0",
"25-083-23131-00-00","8/31/2023 12:00:00 AM","Bakken","10393","0","0","0","0",
"25-083-23131-00-00","7/31/2023 12:00:00 AM","Bakken","10393","0","0","0","0",
"25-083-23131-00-00","6/30/2023 12:00:00 AM","Bakken","10393","0","0","0","0",
"25-083-23131-00-00","5/31/2023 12:00:00 AM","Bakken","10393","0","0","0","0",
"25-083-23131-00-00","4/30/2023 12:00:00 AM","Bakken","10393","0","0","0","0",
"25-083-23131-00-00","3/31/2023 12:00:00 AM","Bakken","10393","0","0","0","0",
"25-083-23131-00-00","2/28/2023 12:00:00 AM","Bakken","10393","0","0","0","0",
"25-083-23131-00-00","1/31/2023 12:00:00 AM","Bakken","10393","0","0","0","0",
"25-083-23131-00-00","12/31/2022 12:00:00 AM","Bakken","10393","0","0","0","0",
"25-083-23131-00-00","11/30/2022 12:00:00 AM","Bakken","10393","0","0","0","0",
"25-083-23131-00-00","10/31/2022 12:00:00 AM","Bakken","10393","0","0","0","0",
"25-083-23131-00-00","9/30/2022 12:00:00 AM","Bakken","10393","0","0","0","0",
"25-083-23131-00-00","8/31/2022 12:00:00 AM","Bakken","10393","0","0","0","0",
