Lease,Time (Days),Choke Size,Gas Volume (MMscf),Oil Volume (stb),Water Volume  (stb),Gas Lift Inj Volume  (MMscf),Casing Pressure  (psi(a)),Tubing Pressure  (psi(a)),Active Pressure  (psi(a)),Line Pressure  (psi(a)),Pressure Source ,Calculated Sandface Pressure  (psi(a))
HAWK,1.0,10.0,0,0,690,,100,2957,2957,142.988943,Tubing Pressure,6444.96994841074
HAWK,1.625,16.0,0,0,101.999999994063,,100,2559,2559,142.988943,Tubing Pressure,6281.54675296012
HAWK,1.6666666666642413,16.0,0,0,103.000000011991,,100,2554,2554,142.988943,Tubing Pressure,6282.20009943048
HAWK,1.7083333333357587,16.0,0,0,100.999999994121,,100,2559,2559,142.988943,Tubing Pressure,6275.90109474891
HAWK,1.75,18.0,0,0,114.999999993306,,100,2515,2515,142.988943,Tubing Pressure,6315.12413956546
HAWK,1.7916666666642413,18.0,0,0,126.000000014668,,100,2439,2439,142.988943,Tubing Pressure,6311.04441985244
HAWK,1.8333333333357587,18.0,0,0.999999999941792,120.999999992957,,100,2433,2433,142.988943,Tubing Pressure,6272.28135131198
HAWK,1.875,18.0,0,0.999999999941792,126.999999992608,,100,2428,2428,142.988943,Tubing Pressure,6308.59293580337
HAWK,1.9166666666642413,18.0,0,2.00000000023283,121.000000014086,,100,2421,2421,142.988943,Tubing Pressure,6261.36370429281
HAWK,1.9583333333357587,18.0,0,1.99999999988358,125.999999992666,,100,2417,2417,142.988943,Tubing Pressure,6292.27389714847
HAWK,2.0,18.0,0,0.999999999941792,119.999999993015,,100,2403,2403,142.988943,Tubing Pressure,6235.30126998144
HAWK,2.0416666666642413,16.0,0,0,89.000000010361,,100,2635,2635,142.988943,Tubing Pressure,6288.72514737222
HAWK,2.0833333333357587,16.0,0,0,89.9999999947613,,100,2631,2631,142.988943,Tubing Pressure,6289.73261789747
HAWK,2.125,16.0,0,0,81.999999995227,,100,2625,2625,142.988943,Tubing Pressure,6244.75555742561
HAWK,2.1666666666642413,16.0,0,0,95.0000000110595,,100,2620,2620,142.988943,Tubing Pressure,6304.60343783184
HAWK,2.2083333333357587,16.0,0,0,86.9999999949359,,100,2613,2613,142.988943,Tubing Pressure,6256.60119625632
