Lease,Measured Depth (ft),TVD (ft)
EAGLE,0,0
EAGLE,28,28
EAGLE,147,146.99
EAGLE,327,326.96
EAGLE,506,505.91
EAGLE,685,684.68
EAGLE,864,863.1
EAGLE,1043,1041.43
EAGLE,1222,1219.75
EAGLE,1401,1398.11
EAGLE,1581,1577.56
EAGLE,1760,1756.02
EAGLE,1939,1934.45
EAGLE,2116,2110.88
EAGLE,2297,2291.3
EAGLE,2476,2469.79
EAGLE,2656,2649.32
EAGLE,2835,2827.87
EAGLE,3014,3006.46
EAGLE,3192,3183.99
EAGLE,3372,3363.34
EAGLE,3511,3501.88
EAGLE,3642,3632.54
EAGLE,3821,3811.11
EAGLE,4000,3989.69
EAGLE,4179,4168.31
EAGLE,4358,4346.92
EAGLE,4537,4525.55
EAGLE,4716,4704.19
EAGLE,4895,4882.72
EAGLE,5074,5061.13
EAGLE,5253,5239.6
EAGLE,5433,5419.12
EAGLE,5612,5597.62
EAGLE,5791,5776.05
EAGLE,5970,5954.44
EAGLE,6149,6132.87
EAGLE,6328,6311.45
EAGLE,6507,6489.91
EAGLE,6686,6668.19
EAGLE,6866,6847.61
EAGLE,7045,7026.21
EAGLE,7134,7114.73
EAGLE,7223,7201.5
EAGLE,7313,7285.93
EAGLE,7387.17,7352.17
EAGLE,7403,7365.78
EAGLE,7492,7438.5
EAGLE,7581,7503.26
EAGLE,7669,7557.89
EAGLE,7759,7599.93
EAGLE,7848,7621.95
EAGLE,7938,7632.38
EAGLE,8027,7639.03
EAGLE,8206,7644.96
EAGLE,8296,7646.47
EAGLE,8386,7647.44
EAGLE,8475,7649.95
EAGLE,8565,7654.09
EAGLE,8655,7657.71
EAGLE,8744,7660.42
EAGLE,8833,7662.76
EAGLE,8923,7665.03
EAGLE,9012,7667.25
EAGLE,9102,7671.22
EAGLE,9192,7676.1
EAGLE,9281,7679.54
EAGLE,9370,7683.37
EAGLE,9460,7688.07
EAGLE,9549,7692.54
EAGLE,9639,7695.37
EAGLE,9728,7697.42
EAGLE,9818,7700.75
EAGLE,9907,7702.98
EAGLE,9997,7704.03
EAGLE,10086,7705.45
EAGLE,10176,7707.23
EAGLE,10265,7711.7
EAGLE,10355,7719.33
EAGLE,10444,7725.39
EAGLE,10534,7728.77
EAGLE,10623,7730.83
EAGLE,10713,7733.91
EAGLE,10802,7737.79
EAGLE,10892,7739.4
EAGLE,10982,7738.67
EAGLE,11071,7737.43
EAGLE,11161,7737.34
EAGLE,11250,7740.54
EAGLE,11340,7745.8
EAGLE,11429,7750.56
EAGLE,11519,7754.78
EAGLE,11609,7758.12
EAGLE,11698,7761.28
EAGLE,11788,7765.98
EAGLE,11878,7771.84
EAGLE,11968,7776.43
EAGLE,12057,7779.76
EAGLE,12147,7781.96
EAGLE,12236,7784.8
EAGLE,12326,7788.03
EAGLE,12415,7790.31
EAGLE,12505,7792.46
EAGLE,12594,7795.07
EAGLE,12683,7798.93
EAGLE,12773,7802.52
EAGLE,12862,7805.06
EAGLE,12952,7807.24
EAGLE,13042,7809.26
EAGLE,13131,7811.77
EAGLE,13221,7814.75
EAGLE,13310,7817.16
EAGLE,13399,7819.2
EAGLE,13489,7820.94
EAGLE,13579,7822.85
EAGLE,13668,7825.32
EAGLE,13758,7828.12
EAGLE,13847,7830.27
EAGLE,13937,7833.79
EAGLE,14027,7837.91
EAGLE,14116,7839.04
EAGLE,14206,7838.78
EAGLE,14296,7839.95
EAGLE,14385,7844.27
EAGLE,14475,7849.29
EAGLE,14564,7852.45
EAGLE,14654,7855.35
EAGLE,14743,7857.61
EAGLE,14833,7859.52
EAGLE,14923,7862.76
EAGLE,15012,7866.57
EAGLE,15101,7869.92
EAGLE,15191,7873.86
EAGLE,15281,7878.36
EAGLE,15370,7883.62
EAGLE,15431,7887.34
EAGLE,15493,7890.81
