~Version Information
VERS.           2.00                                        : CWLS Log ASCII Standard - Version 2.00
WRAP.           NO                                          : One line per depth step
#
~Well Information
#MNEM.UNIT     DATA                               : DESCRIPTION
#----.----     ---------                          : -----------------
STRT.FT         5293                                        : Start
STOP.FT         -4                                          : Stop
STEP.FT         -0.5                                        : Step increment
NULL.           -999.250                                    : Null value
COMP.           NEW RIVER ENERGY CO.                        : Company
WELL.           NREC #16                                    : Well
FLD.            CROOK DISTRICT                              : Field
PROV.           BOONE                                       : Province / County
CTRY.           USA / WEST VIRGINIA                         : State / Country
LOC.            LATITUDE 6,453' SOUTH OF 38?00'00"          : Location
LOC2.           LONGITUDE 7,466' WEST OF 81?45'00"          : Location 2
UWI.                                                        : Unique Well ID
API.            47-005-01935                                : API number
SRVC.           Allegheny Wireline                          : Service company
LIC.            01935                                       : Licence number
DATE.           18-Dec-2004                                 : Logging date
#
~Curve Information
#MNEM.UNIT     API CODES                          : CURVE DESCRIPTION
#----.----     ---------                          : -----------------
DEPT.FT         00 001 00 00                                : Logged depth
BIT.IN          70 282 00 00                                : Bit size
RILD.OHMM       7 120 46 00                                 : Deep Induction
RILM.OHMM       7 120 44 00                                 : Medium Induction
IHTD.DF/S       7 660 11 00                                 : Differential Temperature
IHTF.DEGF       7 660 0 00                                  : Borehole Temperature
AVOL.F3         70 0 0 00                                   : Annular Volume
HVOL.F3         70 0 0 00                                   : Hole Volume
MTXD.G/C3       94 0 0 00                                   : Matrix density
DPOR.PERC       45 890 13 00                                : Density Porosity
PDPE.B/E        45 358 1 00                                 : PE
DEN.G/C3        42 350 1 00                                 : Compensated Density
DCOR.G/C3       42 356 1 00                                 : Density Correction
CLDC.IN         45 280 1 00                                 : Density Caliper
NPRL.PERC       42 890 1 00                                 : Limestone Neutron Por.
GRGC.GAPI       30 310 1 00                                 : Gamma Ray
SMTU.LB         30 635 0 00                                 : DST Uphole Tension
GDLO.----       68 545 0 00                                 : Lower Gas Detector
GDUP.----       68 545 0 00                                 : Upper Gas Detector
#
~Parameter Information
#MNEM.UNIT     VALUE                              : DESCRIPTION
#----.----     ---------                          : -----------------
EREF.FEET       1118.00                                     : Elevation of depth reference
DREF.           D.F. 10FT.                                  : Depth reference
GL.FEET         1107.00                                     : Ground elevation
RUN.            ON                                          : Run number
TDD.FEET        5275.000                                    : TD (driller)
TDL.FEET        5292.000                                    : TD (logger)
CSGD.FEET       2240.000                                    : Casing bottom (driller)
CSGL.FEET       2240.000                                    : Casing bottom (logger)
BS.INCHES       6.50                                        : Bit size
MUD.            NONE                                        : Mud type
MUDD.G/C3                                                   : Mud density
MUDV.CP                                                     : Mud viscosity
PH.                                                         : Mud pH
FL.ML/30MIN                                                 : Mud fluid loss rate
MUDS.                                                       : Mud sample source
TMAX.DEGF       124.00                                      : Max recorder temperature
TIMC.DAY/HR                                                 : Time circulation ended
TIML.DAY/HR                                                 : Time logger at bottom
UNIT.           277                                         : Equipment ID
BASE.           DUNBAR                                      : Equipment base location
ENG.            KURT NUNLEY                                 : Recording engineer
WIT.            MR.WHITE                                    : Witnessed by
CSGS.MM         250.825                                     : Casing size
CSGW.KG/M       0.00                                        : Casing weight
#
~Other Information
--------------------------------------------------------------------------------
MATRIX DENSITY 2.68 G/CC FROM TD. TO 2425
2.71 2425 TO CASING
THANK YOU FOR USING ALLEGHENY WIRELINE SERVICES
--------------------------------------------------------------------------------
#1
#1 DEPT          BIT              RILD             RILM             IHTD             IHTF             AVOL             HVOL             MTXD             DPOR             PDPE             DEN              DCOR             CLDC             NPRL             GRGC             SMTU             GDLO             GDUP             
~A 
5293             6.50000          -999.25000       -999.25000       0.15100          120.40000        -999.25000       -999.25000       2.68000          -999.25000       -999.25000       -999.25000       -999.25000       -999.25000       -999.25000       -999.25000       937.50000        -999.25000       -999.25000       
5292.5           6.50000          -999.25          -999.25          0.15565          121.24312        -999.25          -999.25          2.68000          -999.25          -999.25          -999.25          -999.25          -999.25          -999.25          -999.25          1068.54722       -999.25          -999.25          
5292             6.50000          -999.25          -999.25          0.14876          121.56213        -999.25          -999.25          2.68000          -999.25          -999.25          -999.25          -999.25          -999.25          -999.25          -999.25          1133.49190       -999.25          -999.25          
5291.5           6.50000          -999.25          -999.25          0.13622          121.74981        -999.25          -999.25          2.68000          -999.25          -999.25          -999.25          -999.25          -999.25          -999.25          -999.25          1202.31521       -999.25          -999.25          
5291             6.50000          -999.25          -999.25          0.12222          121.85524        -999.25          -999.25          2.68000          -999.25          -999.25          -999.25          -999.25          -999.25          -999.25          -999.25          1264.53118       -999.25          -999.25          
5290.5           6.50000          -999.25          -999.25          0.10795          121.96886        -999.25          -999.25          2.68000          -999.25          -999.25          -999.25          -999.25          -999.25          -999.25          -999.25          1293.06022       -999.25          -999.25          
5290             6.50000          -999.25          -999.25          0.09322          122.08686        -999.25          -999.25          2.68000          -999.25          -999.25          -999.25          -999.25          -999.25          -999.25          -999.25          1270.79318       -999.25          -999.25          
5289.5           6.50000          -999.25          -999.25          0.07976          122.20486        -999.25          -999.25          2.68000          -999.25          -999.25          -999.25          -999.25          -999.25          -999.25          -999.25          1298.51597       -999.25          -999.25          
5289             6.50000          -999.25          -999.25          0.06830          122.32097        -999.25          -999.25          2.68000          -999.25          -999.25          -999.25          -999.25          -999.25          -999.25          -999.25          1315.52743       -999.25          -999.25          
5288.5           6.50000          -999.25          -999.25          0.05938          122.42792        -999.25          -999.25          2.68000          -999.25          -999.25          -999.25          -999.25          -999.25          -999.25          -999.25          1257.37882       -999.25          -999.25          
5288             6.50000          -999.25          -999.25          0.05365          122.51879        -999.25          -999.25          2.68000          -999.25          -999.25          -999.25          -999.25          -999.25          -999.25          -999.25          1289.11048       -999.25          -999.25          
5287.5           6.50000          184.29549        211.61913        0.04865          122.59255        -999.25          -999.25          2.68000          -999.25          -999.25          -999.25          -999.25          -999.25          -999.25          -999.25          1330.69321       -999.25          -999.25          
5287             6.50000          171.58613        194.87860        0.04365          122.65485        -999.25          -999.25          2.68000          -999.25          -999.25          -999.25          -999.25          -999.25          -999.25          -999.25          1325.49773       -999.25          -999.25          
5286.5           6.50000          159.06441        180.95427        0.03865          122.70742        -999.25          -999.25          2.68000          -999.25          -999.25          -999.25          -999.25          -999.25          -999.25          -999.25          1313.03610       -999.25          -999.25          
5286             6.50000          153.71823        178.35123        0.03392          122.75207        -999.25          -999.25          2.68000          -999.25          -999.25          -999.25          -999.25          -999.25          -999.25          -999.25          1317.93614       -999.25          -999.25          
5285.5           6.50000          161.85340        199.07851        0.02992          122.79253        -999.25          -999.25          2.68000          -999.25          -999.25          -999.25          -999.25          -999.25          -999.25          -999.25          1326.54572       -999.25          -999.25          
5285             6.50000          179.74226        243.03741        0.02619          122.83072        -999.25          -999.25          2.68000          -999.25          -999.25          -999.25          -999.25          -999.25          -999.25          -999.25          1308.54514       -999.25          -999.25          
5284.5           6.50000          198.51524        299.93760        0.02346          122.86564        -999.25          -999.25          2.68000          -999.25          -999.25          -999.25          -999.25          -999.25          -999.25          -999.25          1317.64616       -999.25          -999.25          
5284             6.50000          211.91487        345.90102        0.02146          122.89683        -999.25          -999.25          2.68000          -999.25          -999.25          -999.25          -999.25          -999.25          -999.25          -999.25          1322.22848       -999.25          -999.25          
5283.5           6.50000          221.40272        369.41618        0.01973          122.92556        -999.25          -999.25          2.68000          -999.25          -999.25          -999.25          -999.25          -999.25          -999.25          -999.25          1301.99827       -999.25          -999.25          
5283             6.50000          230.25370        372.03780        0.01873          122.95329        -999.25          -999.25          2.68000          -999.25          -999.25          -999.25          -999.25          -999.25          -999.25          -999.25          1323.24200       -999.25          -999.25          
5282.5           6.50000          236.40833        360.19925        0.01773          122.97975        -999.25          -999.25          2.68000          33.09310         -999.25          2.12386          0.04008          -999.25          -999.25          -999.25          1319.02325       -999.25          -999.25          
5282             6.50000          236.00401        343.48729        0.01673          123.00475        -999.25          -999.25          2.68000          31.37699         3.59059          2.15266          0.04651          -999.25          -999.25          -999.25          1304.13670       -999.25          -999.25          
5281.5           6.50000          229.65381        325.26151        0.01573          123.02921        -999.25          -999.25          2.68000          27.38182         3.61893          2.21984          0.06140          -999.25          -999.25          -999.25          1299.39395       -999.25          -999.25          
5281             6.50000          222.97035        315.46108        0.01500          123.05221        -999.25          -999.25          2.68000          21.48990         3.68981          2.31913          0.08275          -999.25          -999.25          -999.25          1317.04804       -999.25          -999.25          
5280.5           6.50000          218.85390        308.71145        0.01473          123.07494        0.00000          0.00027          2.68000          14.39716         3.80037          2.43786          0.10775          3.15538          -999.25          -999.25          1322.79350       -999.25          -999.25          
5280             6.50000          217.68576        307.39412        0.01400          123.09667        0.00000          0.00100          2.68000          7.97675          3.91355          2.54614          0.13005          3.30662          -999.25          -999.25          1297.26879       -999.25          -999.25          
5279.5           6.50000          215.36022        301.49429        0.01373          123.11740        0.00000          0.00100          2.68000          3.71357          3.96397          2.61788          0.14154          3.64151          -999.25          -999.25          1294.05705       -999.25          -999.25          
5279             6.50000          211.57413        293.66955        0.01300          123.13713        0.00000          0.00100          2.68000          1.76418          3.97173          2.65054          0.13949          4.05667          -999.25          -999.25          1312.39839       -999.25          -999.25          
5278.5           6.50000          208.35453        287.20845        0.01273          123.15586        0.00000          0.00100          2.68000          1.77260          3.95966          2.64984          0.12460          4.48064          -999.25          -999.25          1295.12917       -999.25          -999.25          
5278             6.50000          208.68339        288.94194        0.01200          123.17386        0.00000          0.00100          2.68000          2.19158          3.91604          2.64292          0.10433          4.91669          -999.25          -999.25          1293.88405       -999.25          -999.25          
5277.5           6.50000          213.41866        301.02170        0.01200          123.19186        0.00027          0.00127          2.68000          2.35810          3.85616          2.64027          0.08468          5.36531          -999.25          -999.25          1329.34883       -999.25          -999.25          
5277             6.50000          219.77633        317.88977        0.01173          123.20932        0.00100          0.00200          2.68000          2.22843          3.77334          2.64235          0.07138          5.81507          -999.25          -999.25          1300.83651       -999.25          -999.25          
5276.5           6.50000          227.17213        337.92182        0.01100          123.22532        0.00100          0.00200          2.68000          2.00601          3.75314          2.64627          0.06754          6.21314          -999.25          -999.25          1300.96155       -999.25          -999.25          
5276             6.50000          233.56893        353.50789        0.01100          123.24159        0.00100          0.00200          2.68000          2.09240          3.82650          2.64511          0.07062          6.44168          -999.25          -999.25          1338.58589       -999.25          -999.25          
5275.5           6.50000          242.17971        369.58877        0.01100          123.25859        0.00100          0.00200          2.68000          2.63471          3.81656          2.63595          0.07662          6.51245          -999.25          -999.25          1308.85524       -999.25          -999.25          
5275             6.50000          252.91316        392.06007        0.01073          123.27532        0.00100          0.00200          2.68000          3.49043          3.60649          2.62122          0.08208          6.54313          -999.25          -999.25          1297.18772       -999.25          -999.25          
5274.5           6.50000          264.83851        415.90407        0.01000          123.29159        0.00100          0.00200          2.68000          4.16470          3.33426          2.60965          0.08554          6.53945          -999.25          -999.25          1301.23240       -999.25          -999.25          
5274             6.50000          276.22318        451.02840        0.01000          123.30832        0.00100          0.00200          2.68000          4.29650          3.25353          2.60762          0.08673          6.46932          -999.25          -999.25          1296.85138       -999.25          -999.25          
5273.5           6.50000          282.64045        474.22380        0.01000          123.32459        0.00100          0.00200          2.68000          3.83634          3.43141          2.61551          0.08465          6.41259          -999.25          -999.25          1296.69144       -999.25          -999.25          
5273             6.50000          283.40862        482.77918        0.00973          123.34078        0.00100          0.00200          2.68000          2.99599          3.68633          2.62986          0.07992          6.43904          28.78052         -999.25          1285.94143       -999.25          -999.25          
5272.5           6.50000          281.82193        480.82617        0.00900          123.35451        0.00100          0.00200          2.68000          2.04693          3.81889          2.64570          0.07592          6.47943          25.83207         -999.25          1300.74214       -999.25          -999.25          
5272             6.50000          276.67586        457.91788        0.00900          123.36751        0.00100          0.00200          2.68000          1.50664          3.84398          2.65435          0.07246          6.47979          18.98339         -999.25          1286.22883       -999.25          -999.25          
